2018-02-27 12:13:08,040 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-02 19:31:00,972 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-03-03 08:35:35,456 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-06 11:19:37,251 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-03-10 20:32:43,926 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-03-10 20:54:50,982 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-19 10:39:30,618 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-03-27 11:35:23,669 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-04-09 11:32:33,396 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @1123164561ms to org.eclipse.jetty.util.log.Slf4jLog
2018-04-09 11:32:34,382 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2018-04-09 11:32:34,397 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2018-04-09 11:32:34,397 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2018-04-09 11:32:34,413 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2018-04-09 11:32:34,429 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@539cce13{/help,null,AVAILABLE}
2018-04-09 11:32:34,444 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@f095917{HTTP/1.1,[http/1.1]}{127.0.0.1:55157}
2018-04-09 11:32:34,444 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @1123165619ms
2018-04-09 11:35:32,661 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@f095917{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2018-04-09 11:35:32,661 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2018-04-09 11:35:32,677 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@539cce13{/help,null,UNAVAILABLE}
